Exchange,Name,Root Ticker,Sector,SubSector,Listing Type,Date of TSX ListingYYYYMMDD,HQLocation,HQRegion
TSX,Sabina Gold & Silver Corp.,SBB,Mining,,TSXV Grad,20091105,BC,Canada
TSX,Sandstorm Gold Ltd.,SSL,Mining,,TSXV Grad,20121123,BC,Canada
TSX,Scandium International Mining Corp.,SCY,Mining,,Other,20080424,USA,USA
TSX,Seabridge Gold Inc.,SEA,Mining,,TSXV Grad,20080714,ON,Canada
TSX,Semafo Inc.,SMF,Mining,,,19961212,Quebec,Canada
TSX,Serabi Gold plc,SBI,Mining,,IPO,20110329,UK,UK/Europe
TSX,Sherritt International Corporation,S,Mining,,,19960619,ON,Canada
TSX,Sierra Metals Inc.,SMT,Mining,,TSXV Grad,20130708,BC,Canada
TSX,Silver Bear Resources plc,SBR,Mining,,IPO,20071218,ON,Canada
TSX,Silver Bull Resources Inc.,SVB,Mining,,Other,20100826,USA,USA
TSX,Silvercorp Metals Inc.,SVM,Mining,,TSXV Grad,20051024,China,Asia
TSX,SilverCrest Metals Inc.,SIL,Mining,,TSXV Grad,20190829,BC,Canada
TSX,SolGold plc,SOLG,Mining,,Other,20170714,Australia,Australia/NZ/PNG
TSX,Solitario Zinc Corp.,SLR,Mining,,,19940718,USA,USA
TSX,SOPerior Fertilizer Corp.,SOP,Mining,Agriculture,IPO,20121205,ON,Canada
TSX,SouthGobi Resources Ltd.,SGQ,Mining,,TSXV Grad,20091203,BC,Canada
TSX,SSR Mining Inc.,SSRM,Mining,,TSXV Grad,20041104,BC,Canada
TSX,St. Augustine Gold and Copper Limited,SAU,Mining,,Other (S),20110121,Hong Kong,Asia
TSX,Star Diamond Corporation,DIAM,Mining,,TSXV Grad,20041126,SK,Canada
TSX,Starcore International Mines Ltd.,SAM,Mining,,TSXV Grad,20070711,BC,Canada
TSX,Steppe Gold Ltd.,STGO,Mining,,IPO,20180522,ON,Canada
